Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary
Financial and Operational Analysts,Payroll Analyst,Analyst,Cenovus Energy,Calgary,AB,Excel,ANY,In-Person,Energy,50000.0,76458.0,63229.0
Senior Business Analysts,Lead Business Analyst,Lead,Royal Bank of Canada,Vancouver,BC,"Gap, Jira, Sql",Senior,In-Person,Finance,66000.0,84500.0,75250.0
Senior Data Analysts,Data Analyst,Data Analyst,Toronto Transit Commission,Toronto,ON,"Sql, Tableau, Python, Database, Excel, Power Bi, R",ANY,In-Person,Technology,83192.0,104013.0,93602.5
Systems and Data Analysts,HR Technology Lead and Data Analyst,Lead,City of Barrie,Barrie,ON,"Excel, Reason",Senior,In-Person,Technology,95106.71,127429.57,111268.14000000001
Business Systems Analysts,Business Data Analyst,Data Analyst,Accencis Group,Richmond Hill,ON,Undef,ANY,In-Person,Others,90480.0,90480.0,90480.0
Financial and Operational Analysts,(Data-driven) Marketing Analyst,Analyst,Weyburn Credit Union,Weyburn,SK,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",ANY,In-Person,Technology,61181.0,76458.0,68819.5
Financial and Operational Analysts,Quality Analyst,Analyst,Closing the Gap Healthcare,Mississauga,ON,"Gap, Power BI, Excel",ANY,In-Person,Healthcare,50000.0,76458.0,63229.0
Business Systems Analysts,Technology Risk Analyst,Risk Analyst,BMO Financial Group,Toronto,ON,Undef,ANY,In-Person,Finance,74800.0,138600.0,106700.0
Business and Marketing Analysts,Business Analyst,Business Analyst,Banff Caribou Properties Ltd.,Banff,AB,Sql,ANY,In-Person,Automotive,65000.0,87000.0,76000.0
Senior Business Intelligence Analysts,Technical Support Analyst ,Analyst,Seequent,Toronto,ON,Database,ANY,In-Person,Others,68000.0,88300.0,78150.0
Business and Marketing Analysts,Business Analyst,Business Analyst,Banff Caribou Properties Ltd.,Banff,AB,Sql,ANY,In-Person,Automotive,65000.0,87000.0,76000.0
Systems and Data Analysts,Technical Support Analyst Ã¢â‚¬â€œ IT / Database Management,Analyst,Seequent,Toronto,ON,Database,ANY,In-Person,Others,76000.0,89440.0,82720.0
Systems and Data Analysts,Bioinformatics Systems Analyst,System Analyst,University of Alberta,Edmonton,AB,"Machine Learning, Database, Database, Html, Git, Matlab, Javascript, Perl, Css, Java, Python, R",ANY,In-Person,Technology,54764.33,73940.15,64352.24
Business and Marketing Analysts,Business Analyst,Business Analyst,Banff Caribou Properties Ltd.,Banff,AB,Sql,ANY,In-Person,Automotive,65000.0,87000.0,76000.0
Senior Business Analysts,Senior Systems Analyst,System Analyst,Mackenzie Financial Corporation,Greater Toronto Area,ON,Sql,Senior,In-Person,Finance,30240.56,57200.0,43720.28
Business and Marketing Analysts,Business Analyst,Business Analyst,Banff Caribou Properties Ltd.,Banff,AB,Sql,ANY,In-Person,Automotive,65000.0,87000.0,76000.0
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote,Undef,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote,Undef,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Senior Business Intelligence Analysts,"Analyst, Business Procurement",Analyst,Banque Laurentienne,MontrÃƒÂ©al,QC,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Business Analysts,Policy Analyst,Analyst,B.C. College of Nurses and Midwives,Vancouver,BC,"C#, Forth, Excel",ANY,In-Person,Education,104423.0,109644.0,107033.5
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote,Undef,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote in Beauceville,QC,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Senior Business Intelligence Analysts,Bilingual Senior Analyst Corporate Investigations,Analyst,Canada Life Assurance Company,London,ON,"Power Bi, Excel",Senior,In-Person,Others,54500.0,81800.0,68150.0
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote in Charlottetown,PE,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Financial and Operational Analysts,Payroll Analyst,Analyst,CloudMD Software & Services Inc - CAN,Remote,Undef,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Financial and Operational Analysts,Sustainability Analyst,Analyst,KeeWee,Remote,Undef,"Python, Excel",ANY,Remote,Others,50000.0,76458.0,63229.0
Systems and Data Analysts,Data Analyst - Informatics and Systems,System Analyst,Snaplii,Mississauga,ON,"Tableau, Machine Learning, Sql, Database, Excel, Sas, Power Bi, Javascript, Spss",ANY,In-Person,Others,76000.0,89440.0,82720.0
Business and Technical Analysts,C-GE-916 Ã¢â‚¬â€œ Data Analyst,Data Analyst,CAE,Saint-Laurent,QC,"Power BI, Confluence",ANY,In-Person,Others,30240.56,57200.0,43720.28
Systems and Data Analysts,Advanced Data Analyst - Frostbite,Data Analyst,Electronic Arts,Vancouver,BC,"Sql, Aws, Databricks, Gap, Azure, Power Bi, Python",Senior,In-Person,Others,107600.0,147100.0,127350.0
Systems and Data Analysts,"Analyst, Human Resources Analytics",Analyst,Ontario Health,Toronto,ON,Excel,ANY,In-Person,Healthcare,76000.0,89440.0,82720.0
Senior Data Analysts,Technical Data Analyst,Data Analyst,CNOOC International,Calgary,AB,"Database, Excel, Power Bi, Python, R, Database",ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Data Analysts,Data Analyst - Product,Data Analyst,Appcast,Fredericton,NB,"Tableau, Machine Learning, Sql, Excel, Python",ANY,In-Person,Others,69000.0,86000.0,77500.0
Business Systems Analysts,Data Business Analyst,Business Analyst,"Bridgenext, Inc",Remote,Undef,"Azure, Sql, Python, Tableau, Excel, Databricks, Power Bi, Database",ANY,Remote,Others,85816.8,91520.0,88668.4
Senior Data Analysts,Data Management Analyst,Analyst,Leonardo DRS,Bedford,NS,Undef,ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Business Analysts,Business Intelligence Analyst,BI Analyst,Autodesk,Toronto,ON,"Tableau, Sql, D3.Js, Power Bi, Python, R",ANY,In-Person,Others,66000.0,84500.0,75250.0
Business and Marketing Analysts,Research Analyst,Analyst,Insurance Bureau of Canada,Toronto,ON,"Excel, Excel",ANY,In-Person,Insurance,65000.0,87000.0,76000.0
Systems and Data Analysts,Part-time Data Quality Analyst (Fraud Investigation),Analyst,owl.co,Remote in Toronto,ON,Undef,ANY,Remote,Others,41600.0,57200.0,49400.0
Senior Business Intelligence Analysts,IT Cost Business Analyst,Business Analyst,Ingersoll Rand,Barrie,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Business Analysts,"Analyst, Business Intelligence",BI Analyst,Bell,Toronto,ON,"Sql, Confluence, Sas, Jira, Teradata",ANY,In-Person,Others,66000.0,84500.0,75250.0
Senior Business Analysts,Senior Data Engineering Analyst,Data Engineer,Loblaw Companies Limited,Brampton,ON,"Sql, Python, Confluence, Excel, Java, Teradata, Jira",Senior,In-Person,Technology,66000.0,84500.0,75250.0
Senior Business Intelligence Analysts,Principal Services Operations Analyst,Analyst,Dayforce,Remote,Undef,"Power Bi, Excel, Database",Senior,Remote,Others,83500.0,149300.0,116400.0
Senior Business Analysts,Senior Systems Analyst,System Analyst,IG Wealth Management,Toronto,ON,Sql,Senior,In-Person,Others,30240.56,57200.0,43720.28
Senior Data Analysts,Treasury Data Analyst,Data Analyst,GFL Environmental,Vaughan,ON,"Sql, Database, Crystal, Excel",ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Business Intelligence Analysts,business intelligence specialist,Data Specialist,Ramp Group,Surrey,BC,Undef,Senior,In-Person,Others,95680.0,95680.0,95680.0
Senior Business Analysts,Senior Business Analyst,Business Analyst,Evolution Mining,Red Lake,ON,Undef,Senior,In-Person,Others,66000.0,84500.0,75250.0
Senior Business Analysts,Associate IT Business Analyst,Data Associate,Manulife,Toronto,ON,Database,Mid,In-Person,Others,30240.56,57200.0,43720.28
Senior Business Intelligence Analysts,Decision Support Analyst,Analyst,ErinoakKids Center for Treatment and Development,Mississauga,ON,"Sql, Excel, Database",ANY,In-Person,Construction,68000.0,88300.0,78150.0
Senior Business Intelligence Analysts,"Analyst, Digital Advisory Federal Government",Analyst,MNP,Ottawa,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Financial and Operational Analysts,Data-driven Marketing Analyst,Analyst,Weyburn Credit Union,Weyburn,SK,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",ANY,In-Person,Technology,61181.0,76458.0,68819.5
Senior Supply Chain Data Analysts,FPSS Quality Coordination Analyst,Analyst,City of Winnipeg,Winnipeg,MB,"Crystal, Excel, Database",ANY,In-Person,Technology,68500.0,87000.0,77750.0
Business Systems Analysts,"analyst, business - computer systems",System Analyst,TechVest Global Solutions Inc.,Toronto,ON,Undef,ANY,In-Person,Technology,105000.0,105000.0,105000.0
Senior Supply Chain Data Analysts,"Business Systems Analyst 10 yrs (SQL, big data, Credit Risk, Banking Loan Book, Python)",Risk Analyst,Compest Solutions Inc,Toronto,ON,"Sql, Big Data, Hadoop, Python, Jupyter",ANY,In-Person,Consulting,104000.0,120640.0,112320.0
Business and Technical Analysts,ADMN O 24R - Policy Analyst,Analyst,BC Public Service,Abbotsford,BC,Eagle,ANY,In-Person,Service,76071.18,86658.48,81364.82999999999
Senior Supply Chain Data Analysts,"Analyst, Business Performance, Bilingual or English",Analyst,Nordia,Laval,QC,Undef,ANY,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Intelligence Analysts,business intelligence specialist,Data Specialist,RAMP Technology Group Inc.,Surrey,BC,"Github, Aws, Sql",Senior,In-Person,Technology,95680.0,95680.0,95680.0
Senior Supply Chain Data Analysts,"Analyst, Business Performance, Bilingual or English",Analyst,Nordia,Laval,QC,Undef,ANY,In-Person,Others,68500.0,87000.0,77750.0
Business and Technical Analysts,Continuous Improvement/Business Analyst,Business Analyst,FleetOptics Inc,Mississauga,ON,"Power Bi, Excel",ANY,In-Person,Others,64123.59,86600.0,75361.795
Business and Marketing Analysts,Research Analyst,Analyst,University of Toronto,Toronto,ON,"Sas, Big Data, R",ANY,In-Person,Technology,30240.56,75223.0,52731.78
Financial and Operational Analysts,"Analyst, Transaction Management",Analyst,Groupe Optimum Inc.,MontrÃƒÂ©al,QC,Excel,ANY,In-Person,Others,100000.0,100000.0,100000.0
Business Systems Analysts,Business Systems Analyst (Computer Services Officer 3),Data Officer,Province of Nova Scotia,Halifax,NS,Power Platform,ANY,In-Person,Others,69000.1,84021.08,76510.59
Business Systems Analysts,"Business Systems Analyst, Capital Markets Technology, Derivative Products",System Analyst,Scotiabank,Toronto,ON,"Sql, Gap, Excel",ANY,In-Person,Finance,85816.8,91520.0,88668.4
Business and Marketing Analysts,Business Analyst Manager,Manager,Midland Transport,Dieppe,NB,Excel,Senior,In-Person,Real Estate,65000.0,87000.0,76000.0
Senior Business Intelligence Analysts,Senior Business Intelligence Specialist,Data Specialist,Tolko Industries Ltd.,Vernon,BC,"Fabric, Ssis, Sql, Databricks, Azure, Ssrs",Senior,In-Person,Others,79500.0,106000.0,92750.0
Senior Supply Chain Data Analysts,"Analyst Sr, Strategy & Business Dev.",Analyst,Bombardier,Dorval,QC,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Analysts,Teknaform Senior Business Analyst,Business Analyst,Teknaform Inc.,Bolton,ON,Excel,Senior,In-Person,Others,90000.0,110000.0,100000.0
Senior Business Analysts,Senior Business Analyst,Business Analyst,Ivey Business School Foundation,London,ON,Sql,Senior,In-Person,Education,82800.0,103500.0,93150.0
Senior Business Intelligence Analysts,Contact Center Business Analyst,Business Analyst,Global Excel Management,Sherbrooke,QC,"Genesys, Excel",ANY,In-Person,Others,68000.0,88300.0,78150.0
Business and Marketing Analysts,Investment Reporting Analyst,Analyst,OMERS,Toronto,ON,"Power Bi, Excel, SQL",ANY,In-Person,Others,65000.0,87000.0,76000.0
Senior Supply Chain Data Analysts,"Analyst, Capital Gov & Reporting",Analyst,EPCOR,Edmonton,AB,"Power Bi, Excel",ANY,In-Person,Others,107931.2,128814.4,118372.79999999999
Business and Marketing Analysts,Marketing Analyst,Analyst,OLIVER Agency - North America,Toronto,ON,"Tableau, Power Bi, Sql, Excel, Vba, Python, R",ANY,In-Person,Others,65000.0,87000.0,76000.0
Business and Marketing Analysts,"analyst, marketing",Analyst,Wipro Comnet Inc.,Brampton,ON,Database,ANY,In-Person,Others,79040.0,79040.0,79040.0
Business and Marketing Analysts,Project Analyst,Analyst,ARYZE Developments Inc.,Victoria,BC,Excel,ANY,In-Person,Construction,68000.0,85000.0,76500.0
Business Systems Analysts,business systems analyst,System Analyst,AIR TRAIN FREIGHT SYSTEMS INC,Mississauga,ON,Undef,ANY,In-Person,Transportation,59072.0,59072.0,59072.0
Financial and Operational Analysts,Pricing & Revenue Management Analyst,Analyst,Flair Airlines Ltd.,Vancouver,BC,Crystal,ANY,In-Person,Others,50000.0,76458.0,63229.0
Business and Marketing Analysts,Business Analyst,Business Analyst,TC Energie,Calgary,AB,"Power Bi, Power Platform",ANY,In-Person,Others,65000.0,87000.0,76000.0
Senior Business Analysts,Marketing Science Analyst,Analyst,Lululemon,Vancouver,BC,"Python, Sql, Power BI, R",ANY,In-Person,Others,105800.0,138800.0,122300.0
Business Systems Analysts,business systems analyst,System Analyst,STAR TECH INFOSYSTEMS LTD.,Calgary,AB,C,ANY,In-Person,Technology,98176.0,98176.0,98176.0
Senior Supply Chain Data Analysts,NDT Eddy Current Data Analyst - Project Manager,Manager,"Acuren Inspection, Inc.",Edmonton,AB,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Intelligence Analysts,Accounting Analyst and Supervisor,Analyst,Maggas Medical Inc.,North York,ON,Excel,ANY,In-Person,Healthcare,50000.0,70000.0,60000.0
Senior Supply Chain Data Analysts,Sr. Pricing Analyst,Analyst,Collins Aerospace,Oakville,ON,Excel,Senior,In-Person,Aerospace,68500.0,87000.0,77750.0
Business Systems Analysts,Business Systems Analyst,System Analyst,PressReader,Richmond,BC,"Power Platform, Power Bi, Excel, Database",ANY,In-Person,Media,70000.0,85000.0,77500.0
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence and Reporting, Enterprise Insider Risk Management",Manager,TD Bank,Toronto,ON,"R, C",Senior,In-Person,Finance,68000.0,88300.0,78150.0
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence and Reporting, Enterprise Conduct Risk Management",Manager,TD Bank,Toronto,ON,Undef,Senior,In-Person,Finance,68000.0,88300.0,78150.0
Senior Supply Chain Data Analysts,Lead Business Systems Analyst (SAP SuccessFactors),Lead,Magic Leap - Multiple Locations,Remote,Undef,"C#, Database",Senior,Remote,Others,68500.0,87000.0,77750.0
Financial and Operational Analysts,Treasury Analyst,Analyst,City of Richmond BC,Richmond,BC,Excel,ANY,In-Person,Technology,83345.6,98404.8,90875.20000000001
Senior Supply Chain Data Analysts,Total Rewards Analyst,Analyst,SAIT Polytechnic,Calgary,AB,Excel,ANY,In-Person,Technology,65000.0,85000.0,75000.0
Systems and Data Analysts,"FCM - Data Quality Analyst- Remote, Canada",Analyst,FCM,Remote,Undef,Power BI,ANY,Remote,Others,87000.0,87000.0,87000.0
Senior Business Intelligence Analysts,Data Analyst (Street Operations),Data Analyst,The City of Vancouver,Vancouver,BC,"Power Bi, Excel, Big Data, Sql",ANY,In-Person,Technology,87443.2,103272.0,95357.6
Business and Technical Analysts,RES O 21R - Data Analyst,Data Analyst,BC Public Service,Burnaby,BC,"Python, Sql, R",ANY,In-Person,Service,69760.7,79322.69,74541.695
Senior Data Analysts,Data Analyst,Data Analyst,Fraser Health,Surrey,BC,"Sql, Sas, R, Tableau, Vbscript, Power Bi, Python",ANY,In-Person,Healthcare,79289.59999999999,113984.0,96636.79999999999
Senior Data Analysts,Data Centre Analyst,Analyst,TransLink,Metro Vancouver Regional District,BC,C,ANY,In-Person,Others,30240.56,57200.0,43720.28
Business Systems Analysts,Business Configuration Analyst,Analyst,Medavie Blue Cross,Remote,Undef,"Power BI, Sql",ANY,Remote,Healthcare,85816.8,91520.0,88668.4
Systems and Data Analysts,Performance Data Analyst (Internal Only),Intern,MacEwan University,Edmonton,AB,"Database, Power Bi, Sql",ANY,In-Person,Technology,137280.0,180000.0,158640.0
Senior Business Intelligence Analysts,Business Intelligence Developer,Developer,Novartis,MontrÃƒÂ©al,QC,"Power Bi, Sql, Alteryx, Snowflake, Database",ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Supply Chain Data Analysts,Intermediate Data Support Analyst (6-Month Contract),Analyst,AGF Management Limited,Toronto,ON,"Eagle, Sql, Excel, Vba, Database",Mid,In-Person,Technology,30240.56,57200.0,43720.28
Senior Data Analysts,Program Data Analyst,Data Analyst,Nova Scotia School Boards (NSSB),Berwick,NS,Excel,ANY,In-Person,Education,46531.0,58164.0,52347.5
Senior Data Analysts,Quantitative Data Analyst,Quantitative Analyst,The Mustard Seed Society,Calgary,AB,"Tableau, Sql, Php, Excel, Power Bi, Python, Vba, R",ANY,In-Person,Others,69000.0,86000.0,77500.0
Systems and Data Analysts,Methods Analyst I - Wellness Data Analyst,Data Analyst,City of Edmonton,Edmonton,AB,"Power Bi, Excel",Junior,In-Person,Technology,81239.9,101495.59,91367.745
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Moncton,NB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Technical Analysts,Jr. QA Analyst,Analyst,indikor.com,Remote,Undef,"Sql, Github, C#, Gitlab, Javascript",Junior,Remote,Others,64123.59,86600.0,75361.795
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Mount Pearl,NL,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Milton,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Systems and Data Analysts,"Senior Analyst, Data Integration, Methods and Tools",Analyst,Canadian Institute for Health Information,Ottawa,ON,"Python, R, Machine Learning",Senior,In-Person,Technology,76000.0,89440.0,82720.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Boucherville,QC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Data Analysts,"Business Data Analyst, Reporting & Audit",Data Analyst,PartnerRe,Toronto,ON,"Vba, Sql, Power Bi, Alteryx",ANY,In-Person,Others,69000.0,86000.0,77500.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Woodstock,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business Systems Analysts,Business Systems Analyst (Technical),System Analyst,BMO Financial Group,Toronto,ON,"Database, Sql",ANY,In-Person,Finance,74800.0,138600.0,106700.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Ottawa,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Business Analysts,Senior Business Analyst (Data),Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),Toronto,ON,"Snowflake, Sql, Eagle",Senior,In-Person,Healthcare,30240.56,57200.0,43720.28
Systems and Data Analysts,Supply Chain & Master Data Analyst,Data Analyst,Longo's,Vaughan,ON,"Excel, Factor",ANY,In-Person,Others,30240.56,57200.0,43720.28
Senior Supply Chain Data Analysts,"Business Analyst Student, Transportation Analytics (12 months) - Fall 2024",Business Analyst,Canadian Tire Corporation,Mississauga,ON,"Power Bi, Tableau, Excel, Sql",ANY,In-Person,Others,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Kelowna,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Lakeside,NS,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Marketing Analysts,Business Analyst,Business Analyst,TC Energy,Calgary,AB,"Power Bi, Power Platform",ANY,In-Person,Energy,65000.0,87000.0,76000.0
Senior Supply Chain Data Analysts,"Business Data Analyst, Retro Admin",Data Analyst,PartnerRe,Toronto,ON,"Vba, Sql, Alteryx",ANY,In-Person,Others,68500.0,87000.0,77750.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Mississauga,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Supply Chain Data Analysts,Blue Box Analyst,Analyst,Canadian Tire Corporation,Toronto,ON,"Power Bi, Excel, Sql",ANY,In-Person,Others,30240.56,57200.0,43720.28
Senior Supply Chain Data Analysts,"Business Analyst Student, Courier Operations (12 months) - Fall 2024",Business Analyst,Canadian Tire Corporation,Mississauga,ON,"Tableau, Sql, Excel, Power Bi, Python",ANY,In-Person,Others,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Winnipeg,MB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Marketing Analysts,"Analyst, Global Investment Banking, Global Diversified Industries",Analyst,CIBC,Toronto,ON,Excel,ANY,In-Person,Others,65000.0,87000.0,76000.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Regina,SK,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Business Intelligence Analysts,Business Intelligence Consulting Associate - Summer 2025,Data Associate,RSM US LLP,Vancouver,BC,"Sql, Database, Excel, SQL, Html, Database",Mid,In-Person,Others,63800.0,76125.0,69962.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Victoria,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Database Analysts,Programmer Analyst,Programmer,University of British Columbia,Vancouver,BC,"Sql, Database, Tableau, Database, Power BI, Ssrs, C#, Qlikview, Excel",ANY,In-Person,Technology,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Port Coquitlam,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,SYSCO FOOD SERVICES,Remote in Toronto,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,Servicing Analyst,Analyst,BMO Financial Group,Toronto,ON,Undef,ANY,In-Person,Finance,37500.0,69500.0,53500.0
Senior Business Intelligence Analysts,Financial Data Analyst and Report Developer,Developer,Stir Consulting Inc.,MontrÃƒÂ©al,QC,"Python, Vba, Sql",ANY,In-Person,Consulting,104000.0,104000.0,104000.0
